 	Identifier	Ratio	C1	C2	Area
1	0	0.987	2677.669	2643.544	0
2	1	0.987	4048.471	3995.630	0
3	2	1.002	3008.784	3016.092	0
4	3	1.365	1813.402	2475.197	0
5	4	1.047	3910.891	4095	0
6	5	1.333	2871.434	3826.503	0
7	6	0.991	4051.371	4015.401	0
8	7	1.011	2402.967	2429.995	0
9	8	1.339	2519.783	3373.535	0
10	10	1.840	1719.315	3163.078	0
11	11	1.777	1714.518	3046.564	0
12	12	0.933	3823.667	3569.167	0
13	13	1.468	2637.519	3872.827	0
14	14	1.121	3430.731	3846.221	0
15	15	0.901	3741.550	3371.614	0
16	16	0.966	4095	3954.584	0
17	17	1.393	2761.826	3848.399	0
18	18	1.246	2936.675	3658.837	0
19	19	1.191	2960.882	3525.214	0
20	20	1.975	1167.082	2304.542	0
21	21	1.741	2348.734	4088.324	0
22	22	0.989	4070.240	4025.715	0
23	23	0.986	3969.277	3913.863	0
24	24	0.974	4064.594	3958.523	0
25	25	1.040	3938.380	4094.594	0
26	26	1.106	3389.508	3749.557	0
27	27	1.163	2192.535	2550.905	0
28	28	0.871	2917.350	2539.931	0
29	29	1.308	2260.727	2956.827	0
30	30	1.218	2504.969	3051.375	0
31	31	1.193	2394.744	2855.918	0
32	32	0.974	3193.500	3109.667	0
33	33	1.032	3892.479	4017.149	0
34	34	0.981	4095	4018.189	0
35	35	0.990	3708.269	3669.700	0
36	36	0.999	4095	4092.289	0
37	37	1	4095	4095	0
38	38	1.308	2708.387	3542.208	0
39	39	0.983	4087.069	4019.147	0
40	40	0.989	3660.615	3621.408	0
41	41	1.454	1117.175	1623.884	0
42	42	0.904	3265.601	2952.986	0
43	43	0.968	2760.667	2672.333	0
44	44	0.977	4088.849	3994.900	0
45	45	0.972	3630.704	3529.536	0
46	46	1.345	2819.279	3790.947	0
47	47	1.152	2992.741	3448.723	0
48	48	0.935	2890.171	2702.290	0
49	49	1.007	4059.149	4085.773	0
50	50	1.666	2390.241	3981.253	0
51	51	0.931	3364.506	3132.185	0
52	52	0.943	3604.328	3400.249	0
53	53	0.972	3460.060	3362.658	0
54	54	0.995	4095	4075.193	0
55	55	1.611	1747.114	2813.742	0
56	56	0.999	4075.833	4070.667	0
57	57	1.544	2186.799	3375.615	0
58	58	1.282	2212.833	2836.667	0
59	59	0.865	3976.249	3441.362	0
60	60	0.903	4035.167	3641.833	0
61	61	1.174	2531.690	2972.376	0
62	62	1.096	3590.833	3935.500	0
63	63	0.953	4088.710	3897.149	0
64	64	0.976	4077.509	3978.691	0
65	65	1	4095	4095	0
66	66	1.753	2052.222	3596.837	0
67	67	1.034	3416.080	3531.013	0
68	68	0	0	0	1.576
69	69	2.290	1746.292	3999.505	0
70	70	1.094	3632.333	3975.333	0
71	71	1.630	2419.616	3943.560	0
72	72	1.086	3770.191	4094.965	0
73	73	2.170	1647.592	3574.690	0
74	74	1.818	2253.081	4095	0
75	75	0.970	4039.011	3918.504	0
76	76	1.018	3829.652	3899.175	0
77	77	2.036	1989.970	4051.327	0
78	78	1.915	1455.142	2786.213	0
79	79	2.540	1374.566	3490.803	0
80	80	0.992	4095	4060.975	0
81	81	1.017	3938.870	4007.087	0
82	82	0.948	3917.995	3715.020	0
83	83	1.000	4094.983	4093.941	0
84	84	1.662	2464.100	4095	0
85	85	1.236	3067.151	3792.170	0
86	86	0.971	4009.430	3894.874	0
87	87	0.981	4007.466	3931.764	0
88	88	1	4095	4095	0
89	89	1.670	2034.333	3398.333	0
90	90	0.855	3800.660	3248.713	0
91	91	1.192	3258.789	3883.909	0
92	92	0.969	3660.149	3547.933	0
93	93	1.816	1673.667	3039.167	0
94	94	1.244	2733.167	3399.833	0
95	95	0.977	3621.190	3539.702	0
96	96	0.939	3355.981	3150.563	0
97	97	0.911	3247.873	2959.004	0
98	98	1.655	1596.408	2641.608	0
99	99	1.786	1418.667	2533.156	0
100	100	0.736	3639.045	2676.545	0
101	101	1.443	2618.563	3778.993	0
102	102	1.042	3682.726	3838.683	0
103	103	0.980	3889.648	3810.904	0
104	104	0.975	4040.805	3938.816	0
