 	Identifier	Ratio	C1	C2
1	0	0.981	1851.621	1816.478
2	1	1.062	2616.004	2777.808
3	2	0.864	3369.097	2909.315
4	3	1	4095	4095
5	4	0.872	3560.555	3103.487
6	5	0.962	2645.665	2545.645
7	6	2.075	1465.350	3040.465
8	7	1.176	2989.882	3516.846
9	8	1.583	2019.167	3197.167
10	9	0.978	4095	4002.883
11	10	1.751	1919.311	3360.588
12	12	1.546	1399.100	2162.627
13	13	0.839	3203.870	2688.624
14	14	0.979	4049.154	3962.381
15	16	2.277	1192.671	2716.279
16	17	0.868	3674.500	3190.500
17	18	0.876	3376.133	2958.503
18	19	1.132	2491.858	2820.654
19	20	0.885	4028.343	3566.851
20	21	2.448	1216.470	2977.529
21	22	1.936	1399.817	2710.421
22	23	2.539	812.138	2062.108
23	24	1.869	1383.143	2585.279
24	25	0.977	4088.373	3993.318
25	26	0.963	3299.965	3177.507
26	27	1.472	2637.257	3881.712
27	28	1.564	1686.213	2636.846
28	29	1.566	1436.113	2248.426
29	30	2.416	1184.631	2862.317
30	31	0.947	3629.225	3437.927
31	32	0.929	3308.647	3075.042
32	33	1.697	2036.522	3455.834
33	34	1.625	1629.515	2647.682
34	35	2.045	1188.088	2429.872
35	36	1.832	2177	3987.333
36	37	1.131	3339.670	3775.638
37	38	1.162	3517.739	4088.672
38	39	2.085	1380.981	2879.661
39	40	1.024	2630.876	2693.763
40	41	0.996	4043.306	4029.081
41	42	1.664	2429.667	4042.500
42	43	1.268	1915.787	2429.432
43	45	1.883	1853.785	3490.750
44	46	3.147	1108.390	3488.585
45	47	1.015	3820.316	3879.500
46	48	1.513	2348.725	3553.510
47	49	1.940	1895.050	3676.010
48	50	0.974	4095	3986.604
49	51	3.698	983.838	3637.987
50	52	2.953	1127.333	3329.333
51	53	3.950	999.219	3946.778
52	54	0.990	2511.563	2486.286
53	55	1.654	1049.695	1736.689
54	56	0.854	3091.351	2638.830
55	57	1.001	2603.619	2605.709
56	58	0.944	3836.679	3620.057
57	59	1.337	2135.501	2854.891
58	60	0.977	3675.156	3591.690
59	61	0.968	4078.167	3946
60	62	0.995	3072.833	3056.667
61	63	0.932	4027.624	3751.937
62	64	1.187	3412.029	4049.361
63	65	2.227	1723.858	3838.347
64	66	1.048	2524.523	2646.615
65	67	1.053	3887.586	4094.988
66	68	1.026	3917.856	4020.462
67	69	0.997	4080.625	4068.918
68	70	0.986	3959.546	3905.621
69	71	1.148	2737.920	3142.042
70	72	1.298	2868.667	3722.500
71	73	1.105	2017.213	2229.992
72	74	0.985	4095	4034.848
73	75	1.000	4095	4093.250
74	76	1.101	3409.723	3755.304
75	77	2.121	1325.214	2811.309
76	78	1.037	3619.737	3752.666
77	79	1.156	3509.720	4055.751
78	80	1.377	2496.903	3438.447
79	81	3.429	997.958	3421.501
80	82	0.911	3916.139	3566.083
81	83	1.338	2776.965	3714.859
82	84	1.323	2998.828	3968.679
83	85	1.295	2992.271	3874.782
84	86	1.138	3545.167	4035.667
85	87	1.095	3208.167	3514.167
86	88	0.982	3981.844	3909.441
87	89	1.052	3682.590	3873.945
88	91	1.621	1889.196	3062.514
89	92	3.793	865.460	3282.762
90	93	3.161	1038.546	3282.789
91	94	0.874	2843.242	2484.229
92	95	0.876	2834.000	2481.559
93	96	0.936	4043.383	3783.000
94	97	0.947	4095	3876.194
95	98	0.862	4095	3529.388
96	99	1.012	3764.860	3810.242
97	101	2.216	1265.252	2803.359
98	102	1.700	2298.106	3906.731
99	103	1.539	2273.750	3498.750
100	104	0.924	3405.277	3144.964
101	105	0.991	4095	4059.728
102	106	2.320	1692.241	3925.919
103	107	1.738	2016.286	3504.244
104	108	3.049	1093.061	3332.452
105	109	1.130	3262.925	3687.191
106	110	0.936	3603.133	3371.819
