 	Identifier	Ratio	C1	C2
1	0	0.881	4095	3606.500
2	1	1.127	3588.613	4043.460
3	2	1.002	4083.609	4093.111
4	3	0.958	3948.564	3783.195
5	5	0.940	3190.077	2999.779
6	6	1.085	3430.677	3723.144
7	7	1	4095	4095
8	8	1.045	3791.443	3962.031
9	9	0.933	3889.037	3629.770
10	10	1.057	3295.963	3484.816
11	11	0.858	4095	3513.328
12	12	1.000	4091.833	4093.500
13	13	1	4095	4095
14	14	0.884	3253.324	2875.383
15	15	0.961	4049.444	3891.375
16	16	1.053	3408.321	3588.963
17	17	1.054	3886.500	4095
18	18	0.858	3042.564	2611.372
19	19	1.041	3346.969	3483.551
20	20	1.323	2908.167	3846.833
21	21	0.850	4047.657	3440.512
22	22	1.001	3861.230	3864.300
23	23	0.989	4093.328	4046.606
24	24	0.994	3960.927	3938.221
25	25	1.279	2985.597	3817.333
26	26	0.995	4069.878	4047.837
27	27	0.816	3823.417	3118.679
28	28	0.957	4091.078	3916.207
29	29	1.102	3343.685	3684.495
30	30	1.050	3774.524	3962.569
31	31	1.406	2205.816	3102.382
32	32	1.011	4048.607	4095
33	33	0.992	4066.769	4034.104
34	34	1	4095	4095
35	35	0.871	3248.667	2828.167
36	36	1	4095	4095
37	37	0.936	3997.485	3742.293
38	38	1.007	4064.141	4091.601
39	39	1.226	3157.259	3869.883
40	40	1.021	3148.208	3213.679
41	41	1.065	3311.586	3526.868
42	42	1.445	2727.414	3939.966
43	43	1.016	3997.998	4061.696
44	44	1.245	3289.957	4094.975
45	45	0.995	4095	4074.306
46	46	0.943	3946.172	3721.205
47	47	0.931	3751.415	3492.660
48	48	1.002	4067.430	4075.721
49	49	0.970	3474.809	3371.797
50	50	1.209	2683.072	3244.246
51	51	0.916	4066.528	3723.752
52	52	1.309	2782.303	3643.382
53	53	1	4095	4095
54	54	0.996	4095	4078.735
55	55	0.995	4078.263	4058.379
56	56	1	4095	4095
57	57	1.459	1436.314	2095.685
58	58	0.903	4090.876	3692.949
59	59	0.998	4095	4088.773
60	60	0.991	3927.356	3892.157
61	61	0.986	4090.325	4033.754
62	62	0.975	3793.583	3698.963
63	63	1.002	4061.231	4067.325
64	64	1.176	3481.356	4092.926
65	65	1.224	3329.181	4076.519
66	66	1.248	2726.027	3401.543
67	67	1.013	4005.913	4057.972
68	68	1.008	4007.889	4041.842
69	69	0.979	4071.476	3986.416
70	70	1.134	3155.505	3578.888
71	71	2.262	1003.778	2270.342
72	72	1.182	3144.044	3716.099
73	73	1.014	4038.282	4095
74	74	0.747	3532.932	2637.903
75	75	1.024	3981.498	4078.142
76	76	1.133	3471.663	3935.009
77	77	1.540	1072.995	1652.558
78	78	1.212	2915.195	3534.251
79	79	1.486	2616.212	3888.888
80	80	1.163	3163.271	3678.542
81	81	1	4095	4095
82	82	1.121	3480.313	3902.408
83	83	1.210	2799.239	3386.991
84	84	1.006	3942.131	3964.438
85	85	0.882	4095	3613.167
86	86	0.999	4095	4089.500
87	87	1	4095	4095
88	88	0.993	3928.935	3899.777
89	89	0.955	3684.410	3518.546
90	90	0.996	4094.782	4078.419
91	91	0.959	4012.083	3845.769
92	92	1.255	2965.745	3721.962
93	93	0.906	3929.039	3559.197
94	94	1.028	3922.533	4032.675
95	95	0.939	3882.769	3646.761
96	96	1.549	2045.735	3168.912
97	97	1.217	3075.851	3743.461
98	98	1.180	3320.426	3917.554
99	99	0.973	4006.670	3898.791
100	100	0.995	4076.886	4058.441
101	101	1	4095	4095
102	102	1.338	2983.763	3993.743
