 	Identifier	Ratio	C1	C2
1	0	0.995	4053.020	4032.690
2	1	0.985	4095	4033.140
3	2	1.011	4026.107	4072.220
4	3	1.089	3662.935	3989.783
5	4	1.001	4089.474	4095
6	5	1.004	4054.186	4068.837
7	6	NaN	3771.622	NaN
8	6	1.029	3269.346	3363.271
9	7	1.294	2916.773	3775.341
10	8	0.966	2620.018	2529.763
11	9	0.993	4083.153	4052.863
12	10	0.996	4081.229	4063.276
13	11	1	4095	4095
14	12	1.253	2984.600	3740.048
15	13	0.998	4029.117	4022.873
16	14	1.210	3144.039	3805.048
17	15	0.999	4094.467	4089.075
18	16	0.909	4024.833	3657.667
19	17	1.009	3974.706	4010.918
20	18	1.047	3586.704	3753.524
21	19	0.988	3940.768	3892.697
22	20	1.008	4061.628	4095
23	21	0.984	3970.495	3905.928
24	22	1.007	4067.505	4093.967
25	23	1	4095	4095
26	24	0.997	4094.465	4082.819
27	25	0.936	3980.157	3725.633
28	26	0.996	4086.326	4069.117
29	27	0.996	4093.696	4078.627
30	28	2.152	1223.396	2632.888
31	29	1.001	4090.068	4095
32	30	1.004	4079.054	4095
33	31	0.984	4095	4031.500
34	32	0.993	3858.074	3829.689
35	33	1	4095	4095
36	34	1.002	3969.934	3977.460
37	35	1.384	2723.292	3769.909
38	36	0.997	4095	4081.339
39	37	0.999	4090.773	4085.281
40	38	0.969	3823.317	3705.746
41	39	1	4095	4095
42	40	1.004	4077.927	4092.225
43	41	1.000	4095	4094.656
44	42	0.946	3809.516	3603.257
45	43	1.637	2321.270	3799.003
46	44	1.009	3970.378	4004.704
47	45	0.853	4000.007	3412.424
48	46	0.988	4041.667	3993.500
49	47	0.984	4088.167	4024.500
50	48	0.992	2844.882	2821.807
51	49	0.999	4052.817	4048.221
52	50	1.050	3898.682	4095
53	51	1.006	4057.071	4082.262
54	52	1.086	3711.790	4031.499
55	53	2.566	1372.343	3521.353
56	54	1.206	3204.545	3863.927
57	55	0.999	4086.754	4081.308
58	56	1.041	3932.677	4094.402
59	57	1.004	3174.337	3188.465
60	58	0.931	3604.073	3354.028
61	59	0.999	4095	4092.835
62	60	1	4095	4095
63	61	1.065	3524.406	3753.826
64	62	0.957	3935.728	3764.861
65	63	1.009	4059.183	4094.989
66	64	1.373	2973.029	4081.145
67	65	0.971	3816.980	3705.750
68	66	1.006	4072.559	4095
69	67	0.955	3971.505	3793.862
70	68	1.920	2117.807	4066.753
71	69	1	4095	4095
72	70	0.880	3430.882	3020.389
73	71	1.000	4093.541	4094.381
74	72	1.402	2781.510	3899.962
75	73	1.262	2864.354	3614.783
76	74	1.053	3872.400	4079.398
77	75	1.002	4088	4095
78	76	0.961	4095	3936.423
79	77	1.001	3691.983	3695.950
80	78	1.139	3368.843	3838.509
81	79	0.966	4065.942	3926.387
82	80	1.050	3898.145	4095
83	81	0.787	4091.990	3222.140
84	82	0.982	4093.833	4019.833
85	83	0.997	4095	4083.226
86	84	0.973	3880.775	3777.095
87	85	0.988	4071.242	4022.545
88	86	0.996	4088.333	4070.167
89	87	1.000	4094.777	4095
90	88	0.989	3995.492	3952.523
91	89	1	4095	4095
92	90	1.099	3718.574	4088.535
93	91	1.033	3963	4095
94	92	2.046	1489.881	3048.175
95	93	0.971	4083.483	3964.880
96	94	0.974	3923.589	3820.954
97	95	0.851	3492.624	2973.947
98	96	0.999	4088.170	4084.353
