 	Identifier	Ratio	C1	C2	Area
1	0	0.725	4093.667	2966.167	0
2	2	1.376	2766.390	3806.746	0.945
3	3	0.942	3555.069	3349.971	0
4	4	2.249	1621.446	3646.210	0
5	5	1.715	2352.063	4033.340	0
6	6	1.705	2098.343	3577.950	0
7	7	0.861	4095	3525.918	0
8	8	0.693	4090.863	2834.745	0
9	9	1.153	2900.257	3342.753	0
10	10	1.058	3370.983	3565.293	0
11	11	1.730	1460.121	2525.624	0
12	12	1.778	2126.681	3780.952	0
13	13	1.452	1967.896	2857.729	0
14	14	1.982	1711.718	3392.662	0
15	15	1.114	3389.523	3776.967	0
16	16	1	4095	4095	0
17	17	1.069	3738.546	3998.105	0
18	18	1.176	2851.861	3352.524	0
19	19	0.688	3920.196	2695.529	0
20	20	0.782	4088.726	3196.275	0
21	21	1.056	2438.067	2575.373	0
22	22	1.458	2166.377	3158.370	0
23	23	1.648	1849.162	3046.500	0
24	24	1.965	1609.041	3162.228	0
25	25	0.699	4067.731	2842.427	0
26	26	1.916	1303.482	2497.070	0
27	27	1.111	3392.381	3768.193	0
28	28	0.781	3932.622	3069.676	0
29	29	1.038	3528.865	3663.705	0
30	30	1.613	2027.659	3269.725	0
31	31	0.723	4051.817	2929.102	0
32	32	1.057	3795.789	4011.328	0
33	33	0.618	4078.525	2520.026	0
34	34	0.740	4094.997	3029.039	0
35	35	1.084	3577.500	3877.333	0
36	36	1.957	2005.374	3924.249	0
37	37	1.870	1859.708	3478.504	0
38	38	0.579	4076.422	2360.826	0
39	39	1.062	3349.587	3557.307	0
40	40	1.551	1952.796	3028.707	0
41	41	1.574	1959.492	3085.056	0
42	42	0.753	4095	3084.011	0
43	43	0.732	4095	2997.167	0
44	44	1.218	2596.976	3162.830	0
45	45	0.683	3999.956	2732.318	0
46	46	1.031	2356.926	2429.053	0
47	47	1.929	1379.560	2661.662	0
48	48	1.299	1975.500	2565.500	0
49	49	1.019	2841.266	2895.922	0
50	50	0.853	4037.745	3443.825	0
51	51	0.755	4095	3092.491	0
52	52	0.953	2918.657	2780.316	0
53	53	0.663	4091.721	2712.273	0
54	54	1.871	1817.669	3400.313	0
55	55	1.656	1501.441	2486.625	0
56	56	1.087	2578.320	2803.526	0
57	57	0.644	4095	2637.886	0
58	58	0.762	4095	3120.190	0
59	59	1.368	2436.256	3332.358	0
60	60	0.715	4064.236	2906.892	0
61	61	0.548	3805.726	2083.679	0
62	62	2.191	1199.333	2628	0
63	63	0.673	4016.787	2702.047	0
64	64	0.934	2351.662	2196.070	0
65	65	0.952	3607.410	3432.613	0
66	66	1.621	2441.158	3956.221	0
67	67	1.411	2256.874	3184.163	0
68	68	0.660	4095	2703.355	0
69	69	0.679	4083.234	2774.137	0
70	70	0.742	3705.561	2749.302	0
71	71	1.104	2225.930	2456.408	0
72	72	0.969	2906.288	2817.373	0
73	73	1.052	2734.452	2875.884	0
74	74	1.433	1662.595	2383.247	0
75	75	2.410	1340.711	3230.797	0
76	76	0.558	3877.675	2162.773	0
77	77	1.123	2165	2431	0
