 	Identifier	Ratio	C1	C2
1	0	1.796	2198.197	3948.931
2	1	0.654	3957.986	2586.847
3	2	1.832	1687.689	3091.905
4	3	0.935	4094.959	3828.216
5	4	0.955	3691.451	3523.683
6	5	1.346	2241.361	3017.239
7	6	1.028	3055.167	3140
8	7	2.218	1656.379	3674.285
9	8	1	4095	4095
10	9	1.302	2744.540	3574.386
11	10	0.991	4066.467	4030.359
12	11	1.216	3146.661	3827.847
13	12	2.590	946.894	2452.749
14	13	0.988	4010.927	3963.316
15	14	0.999	4095	4090.085
16	15	1.241	2862.934	3551.525
17	16	1.058	2426.377	2567.045
18	17	2.277	1548.610	3525.430
19	18	1.265	1861.389	2354.374
20	19	0.859	4091.813	3514.646
21	20	1.265	2267.779	2868.561
22	21	2.969	1186.706	3523.688
23	22	1.017	3102.667	3155.315
24	23	0.953	3847.940	3666.793
25	24	0.774	3444.870	2667.727
26	25	2.309	1707.018	3941.636
27	26	2.294	1625	3727
28	27	3.240	1116.570	3617.909
29	28	0.974	3265.036	3178.700
30	29	0.902	3261.985	2941.904
31	30	0.991	4028.375	3990.515
32	31	2.275	1644.771	3742.102
33	32	3.271	1145.500	3747.333
34	33	2.912	1192.194	3471.980
35	34	2.553	1251.054	3194.002
36	35	2.274	1101.293	2504.152
37	36	1.184	2320.722	2747.058
38	37	1.189	1936.500	2301.833
39	38	1.305	2015.907	2631.023
40	39	0.956	3845.473	3676.198
41	40	0.943	2679.044	2526.303
42	41	0.958	4023.204	3856.081
43	42	0.934	3184.709	2975.207
44	43	0.948	3294.735	3124.801
45	45	0.992	4077.939	4045.064
46	46	1.481	2453.333	3633.500
47	47	0.997	3490.648	3480.951
48	48	2.174	1284.500	2792.500
49	49	2.262	1084.438	2453.349
50	50	0.964	3656.616	3525.953
51	51	1.000	4094.191	4094.998
52	52	0.993	3978.264	3949.714
53	53	0.972	3571.333	3469.667
54	54	1.404	1937.663	2720.797
55	55	1.390	2048.659	2847.948
56	56	2.052	1082.840	2221.543
57	57	1.217	3310.667	4027.500
58	58	0.809	4095	3312.471
59	59	0.972	3215.151	3126.386
60	60	0.941	4069.967	3828.345
61	61	2.215	1534.552	3398.351
62	62	2.006	1671.500	3353.333
63	63	0.985	3685.543	3629.834
64	64	0.835	3411.896	2847.971
65	66	1.091	3464.663	3780.716
66	67	3.094	1323.662	4094.996
67	68	0.993	4075.143	4046.458
68	69	1.109	3070.434	3403.677
69	70	1.110	2996.602	3326.287
70	71	1.215	2931.131	3561.734
71	72	2.416	1386.532	3350.249
72	73	2.669	1329.101	3547.226
73	74	0.942	3520.812	3317.393
74	75	1.051	3226.333	3391.500
75	77	0.985	4068.813	4006.123
76	78	2.348	1668.186	3916.723
77	79	0.961	2771.500	2664.500
78	80	0.962	2667.873	2567.108
79	81	1.319	2729.237	3599.819
80	82	1.053	3775.850	3976.962
81	83	0.978	3937.623	3849.433
82	84	0.982	4038.130	3966.309
83	85	0.995	3382.370	3364.919
84	86	0.979	3627.164	3552.523
85	87	1.003	3937.567	3949.758
86	88	0.996	4093.746	4078.806
87	89	1.012	3773.287	3819.848
88	90	1.805	1509.020	2724.193
89	91	1.166	3402.982	3968.595
90	92	2.408	1403.793	3380.003
91	93	1.084	3775.106	4091.674
92	94	2.530	882.689	2233.329
93	95	1.006	3933.935	3958.760
94	96	3.168	1160.523	3677.072
95	97	3.273	1182.318	3870.041
96	98	0.990	3844.403	3805.063
97	99	3.020	862.719	2605.188
98	100	2.540	1421.821	3610.774
99	101	1.003	3765.677	3776.831
100	102	1.797	2081.517	3740.737
101	103	0.994	4095	4068.948
102	104	0.978	2563.644	2506.483
