 	Identifier	Ratio	C1	C2
1	0	1.001	4074.409	4080.390
2	1	1.250	2025.214	2530.676
3	2	1.259	3154.444	3970.197
4	3	1.001	4074.409	4080.390
5	4	1.692	2020.970	3418.828
6	5	1	4095	4095
7	6	1.514	983.678	1489.401
8	7	1.350	1625.566	2193.809
9	8	0.927	2957.916	2743.417
10	9	1.030	3295.470	3394.545
11	10	0.958	3283.896	3146.264
12	11	0.905	2800.142	2534.008
13	12	1.275	3180.712	4054.733
14	13	2.740	1414.960	3877.534
15	14	0.969	3532.790	3424.122
16	15	1.387	2054.678	2849.163
17	16	2.555	1346.886	3441.196
18	17	1.003	2631.328	2639.575
19	18	1.434	1797.236	2576.557
20	19	1.104	2933.782	3238.980
21	20	1.136	2997.225	3404.230
22	21	0.994	2472.265	2456.387
23	22	1	4095	4095
24	23	1.417	2656.875	3764.299
25	24	0.872	3999.500	3488
26	25	1.527	1883.374	2876.632
27	26	1.754	1209.500	2121.016
28	27	1.193	1950.901	2327.003
29	28	1.243	2727.148	3389.925
30	29	1.197	2539.969	3039.174
31	30	0.958	3906.657	3742.943
32	31	1.651	2001.991	3306.251
33	32	1.566	2038.044	3190.775
34	33	1.589	2522.514	4009.499
35	34	1.943	1655.195	3215.461
36	35	0.863	3527.160	3045.173
37	36	0.993	4095	4066.609
38	37	1.637	2500.926	4095
39	38	0.947	2856.579	2704.692
40	39	0.919	3385.630	3111.872
41	40	0.998	4046.776	4040.017
42	41	0.969	3488.088	3379.506
43	42	0.950	3976.343	3776.880
44	44	1.608	2436.881	3917.738
45	45	1.473	2439.837	3593.708
46	46	0.915	3814.726	3490.214
47	47	1.135	2821.905	3203.476
48	48	1.563	1791.798	2800.453
49	49	2.417	1177.399	2846.284
50	50	2.696	1331.761	3590.500
51	51	0.964	3864.956	3724.761
52	52	0.774	3518.383	2721.680
53	53	1.173	1830.205	2147.139
54	54	1	4095	4095
55	55	0.945	3916.218	3698.951
56	56	1.000	4093.896	4095
57	57	2.053	1197.550	2458.549
58	58	1.000	4003.092	4001.485
59	59	1.013	3953.221	4004.904
60	60	2.319	1119.722	2596.615
61	61	1.021	2982.878	3045.025
62	62	1.049	3607.587	3784.314
63	63	0.974	3513.893	3422.081
64	64	0.971	4094.010	3975.998
65	65	1.832	1781.523	3262.872
66	66	1.743	1283.654	2237.649
67	67	1.072	3522.004	3776.174
68	68	1.365	1548.519	2114.140
69	69	0.939	3839.211	3603.277
70	70	0.906	3959.222	3587.351
71	71	1.387	2808.973	3895.177
72	72	1.752	1373.173	2405.845
73	73	1.736	1689.696	2932.906
74	74	1.829	1422.221	2601.695
75	75	0.983	4095	4026.897
76	76	0.992	4084.807	4053.936
77	77	1.656	1726.279	2857.918
78	78	1.052	1684.520	1772.558
79	79	1.190	3400.131	4047.100
80	80	1.559	1893.942	2952.149
81	81	0.985	4089.335	4029.154
82	82	1.079	1923.167	2074.593
83	83	1	4095	4095
84	84	1.138	3410	3882.167
85	85	1.008	2892.265	2915.997
86	86	1.311	3083.079	4042.884
87	87	1.460	2805	4095
88	88	2.493	864.977	2156.459
89	89	1.187	2632.806	3126.288
90	90	1.040	3806.351	3959.970
91	91	1.485	2222.113	3299.975
92	92	1.032	3919.724	4047.019
93	93	0.997	4095	4082.691
94	94	0.991	4086.674	4050.133
95	95	1	4095	4095
96	96	1.367	2532.059	3461.993
97	97	1.048	2559.228	2681.225
98	98	1.831	1824.681	3341.707
99	99	0.958	4019.085	3852.164
100	100	0.995	3985	3965.461
101	101	0.999	4095	4091.356
102	102	1.258	2190.333	2756.500
103	103	1.341	2952.546	3958.597
104	104	1.137	2996.796	3408.559
105	105	0.986	4032.679	3976.728
106	106	1.772	2166.300	3838.855
107	107	0.987	4095	4039.833
108	108	0.999	4095	4089.928
109	109	0.985	3550.438	3498.940
110	110	1.372	2304.331	3161.476
111	111	1.417	2588.712	3667.774
