 	Identifier	Ratio	C1	C2
1	0	1.001	4091.652	4095
2	1	1.092	3659.700	3995.740
3	2	1	4095	4095
4	3	1	4095	4095
5	4	1.102	3655.372	4027.422
6	5	1.173	2945.444	3455.580
7	6	1.000	4095	4094.417
8	7	0.992	3263.974	3238.872
9	8	0.995	4063.716	4043.097
10	9	0.988	4080.048	4032.492
11	10	0.992	4055.872	4024.110
12	11	0.979	4071.437	3987.343
13	12	0.998	4091.972	4081.761
14	13	0.996	4036.915	4020.950
15	14	0.924	4088.258	3776.793
16	15	0.985	3918.005	3858.327
17	16	1.009	4040.607	4078.487
18	17	1.752	2165.971	3795.261
19	18	0.999	4088.312	4085.464
20	19	0.948	3787.476	3590.537
21	20	1.001	4092.589	4095
22	21	1.043	3918.183	4085.012
23	22	0.983	3876.501	3808.698
24	23	1	4095	4095
25	24	0.993	4083.109	4055.709
26	25	1.035	3897.974	4034.954
27	26	1.001	4091.396	4094.833
28	27	1.575	1744.099	2746.554
29	28	0.892	4094.037	3650.800
30	29	1	4095	4095
31	30	0.971	4061.078	3944.970
32	31	0.997	4048.230	4036.993
33	32	1	4095	4095
34	33	0.995	4090.158	4069.562
35	34	0.767	3814.565	2924.087
36	35	1.000	4095	4094.552
37	36	0.987	4015.210	3964.707
38	37	0.957	4030.351	3858.797
39	38	0.987	4069.942	4017.936
40	39	0.999	4014.935	4009.894
41	40	0.957	3811.698	3648.283
42	41	0.926	3969.729	3676.534
43	42	1.221	3203.581	3910.780
44	43	0.987	3839.172	3789.653
45	44	1.276	2119.219	2703.223
46	45	0.996	3925.924	3911.204
47	46	1.230	2884.171	3547.882
48	47	1.039	3913.946	4068.190
49	48	0.978	3205.086	3134.461
50	49	1.061	3718.615	3945.069
51	50	1	4095	4095
52	51	0.998	4094.983	4088.227
53	52	0.946	3506.822	3316.860
54	53	0.824	3775.272	3109.520
55	54	0.966	4095	3956.681
56	55	1.051	3048.087	3204.929
57	56	0.953	3546.422	3378.501
58	57	0.899	3638.735	3272.965
59	58	0.863	3965.731	3423.293
60	59	1	4095	4095
61	60	1.122	3468.325	3892.570
62	61	1.718	1732.024	2975.749
63	62	1.059	3365.941	3565.218
64	63	0.993	4094.988	4064.575
65	64	0.999	4088.657	4085.849
66	65	1.049	3584.044	3759.773
67	66	0.948	4094.393	3882.069
68	67	0.979	3991.747	3907.254
69	68	0.874	4088.706	3574.894
70	69	0.952	3575.309	3404.048
71	70	0.905	4015.140	3632.015
72	71	1	4095	4095
73	72	1.000	4095.000	4095
74	73	0.943	4072.685	3838.647
75	74	1	4095	4095
76	75	0.872	4027.081	3509.818
77	76	0.995	4094.502	4074.228
78	77	1.010	3395.917	3431.015
79	78	1.019	3215.179	3275.566
80	79	0.969	3643.838	3532.114
81	80	0.959	3974.082	3810.539
82	81	0.968	4095	3962.525
83	82	1.132	3270.500	3701.352
84	83	0.948	4095	3883.667
85	84	0.989	4095	4051.911
86	85	1.000	4094.455	4095
87	86	1.001	4053.187	4059.079
88	87	0.989	3777.291	3734.989
89	88	0.981	3979.474	3904.238
90	89	1.028	2919.951	3000.281
91	90	0.998	4035.812	4028.536
92	91	1.146	3306.911	3789.912
93	92	1.079	3760.388	4057.073
94	93	1.072	3053.897	3272.320
95	94	0.953	4068.563	3879.136
96	95	1.025	3882.162	3978.136
97	96	1.064	3829.992	4074.785
98	97	1.064	3838.182	4084.381
99	98	1	4095	4095
100	99	1.014	3965.725	4021.658
101	100	0.938	3992.711	3744.434
