 	Identifier	Ratio	C1	C2
1	0	0.998	4095	4085.335
2	1	1.023	3430.448	3508.656
3	2	0.987	4072.500	4021.333
4	3	1	4095	4095
5	4	0.998	4071.228	4064.852
6	5	1	4095	4095
7	6	1	4095	4095
8	7	1.064	3315.023	3527.070
9	8	0.992	4095	4060.619
10	9	0.984	4091.949	4026.932
11	10	0.982	3929.322	3857.167
12	11	1.217	3229.270	3929.858
13	12	0.934	3810.180	3558.699
14	13	1.004	3413.131	3426.155
15	14	1	4095	4095
16	15	1.499	2500.357	3748.803
17	16	1	4095	4095
18	17	0.952	3639.794	3463.862
19	18	0.929	4057.069	3770.361
20	19	1	4095	4095
21	20	1.016	3976.712	4039.911
22	21	1.284	2824.816	3626.181
23	22	1.000	4049.509	4047.991
24	23	1	4095	4095
25	24	0.967	4041.213	3907.140
26	25	0.995	4087.488	4068.749
27	26	0.989	4095	4048.261
28	27	0.999	4094.464	4092.367
29	28	1.004	3870.746	3887.024
30	29	1.945	1123.180	2184.389
31	30	0.993	4094.660	4065.796
32	31	1.000	4095	4094.987
33	32	0.996	4011.981	3996.617
34	33	1.170	3344.317	3914.208
35	34	1.000	4095	4093.320
36	35	0.901	3851.167	3469.500
37	36	1.017	4025.121	4095
38	37	1	4095	4095
39	38	0.997	3910.825	3898.383
40	39	0.841	4043.198	3400.471
41	40	0.998	4095	4085.981
42	41	1.000	4089.651	4091.455
43	42	1	4095	4095
44	43	0.944	4091.744	3861.876
45	44	0.988	3647.764	3604.451
46	45	1.015	4035.846	4095
47	46	0.988	3912.718	3865.555
48	47	1	4095	4095
49	48	0.997	4091.123	4077.102
50	49	0.994	4065.603	4039.973
51	50	0.972	3842.211	3736.020
52	51	1.000	4095	4094.959
53	52	0.948	4069.779	3856.982
54	53	1.000	4094.709	4093.459
55	54	1	4095	4095
56	55	1	4095	4095
57	56	0.968	4093.153	3961.201
58	57	1	4095	4095
59	58	0.999	4095	4091.672
60	59	1	4095	4095
61	60	1.000	4094.932	4094.944
62	61	1	4095	4095
63	62	1	4095	4095
64	63	1.006	4067.353	4092.732
65	64	1	4095	4095
66	65	1	4095	4095
67	66	1.302	2316.319	3016.263
68	67	1.000	4093.998	4095
69	68	0.994	2837.495	2820.176
70	69	1.175	3212.727	3776.332
71	70	1.016	3721.833	3780.333
72	71	1	4095	4095
73	72	1	4095	4095
74	73	0.998	4095	4084.886
75	74	1	4095	4095
76	75	1.096	3697.862	4052.361
77	76	0.999	4002.359	3998.928
78	77	1	4095	4095
79	78	0.897	3787.859	3399.337
80	79	0.963	4070.425	3920.750
81	80	2.153	1419.722	3056.488
82	81	1	4095	4095
83	82	1	4095	4095
84	83	0.999	4093.212	4089.606
85	84	0.982	4069.163	3997.782
86	85	0.967	4095	3958.051
87	86	1.003	3807.506	3818.834
88	87	0.978	3730.424	3647.943
89	88	1.000	4051.963	4053.666
90	89	1	4095	4095
91	90	0.948	3909.733	3705.057
92	91	0.936	4095	3831.523
93	92	0.987	4066.682	4012.201
94	93	0.936	3635.500	3401.500
95	94	0.902	3635.833	3278.500
96	95	0.998	4095	4088.543
97	96	1.329	2424.644	3221.984
98	97	1.024	3908.609	4003.091
