 	Identifier	Ratio	C1	C2
1	0	1.017	3925.268	3992.783
2	1	1.019	3730.963	3800.783
3	2	1.384	1881.517	2604.895
4	3	0.989	3894.244	3851.396
5	4	3.676	962.222	3537.360
6	5	1.221	3331.832	4067.277
7	6	2.563	930.500	2385.167
8	7	0.974	4008.013	3903.366
9	8	0.830	3657.756	3036.755
10	9	0.962	3948.125	3799.278
11	10	0.999	4095	4091.692
12	12	2.725	1500	4088
13	13	2.478	1322.461	3276.468
14	15	1.462	2521.438	3686.383
15	16	1.117	3275.062	3657.156
16	17	0.998	3736.167	3730.333
17	18	0.846	3710.723	3139.219
18	20	2.430	1311.791	3187.001
19	22	2.104	1558.666	3279.673
20	23	1.959	2040.214	3997.577
21	24	1.428	2800.278	3998.960
22	25	0.917	3138.993	2877.854
23	26	2.665	1516.200	4041.422
24	27	2.085	1915.603	3993.783
25	28	1.202	3134.400	3768.657
26	29	0.990	4076.150	4036.661
27	30	0.933	4012.127	3741.503
28	31	3.148	989.631	3115.289
29	32	0.999	4095	4092.843
30	33	3.304	1184.415	3913.890
31	34	3.046	1302.963	3969.042
32	35	3.786	1054.683	3993.506
33	36	0.948	3972.405	3767.270
34	37	2.031	1812.669	3680.654
35	38	0.939	4064.759	3816.918
36	39	2.754	1335.939	3678.640
37	40	2.072	1191.866	2469.818
38	41	1.134	3192.431	3619.027
39	42	0.996	4094.786	4076.817
40	43	0.976	3527.824	3442.368
41	44	1.393	1749.389	2436.967
42	45	1.881	1783.054	3354.799
43	46	0.966	3735.320	3609.522
44	47	3.395	1053.342	3575.965
45	48	2.618	1531.831	4010.289
46	49	2.692	1231.638	3315.170
47	50	1.065	3755.826	3998.615
48	51	1.032	3530.883	3642.895
49	52	0.952	3995.268	3805.035
50	53	0.852	3931.102	3349.978
51	54	3.102	1244.631	3861.037
52	55	0.959	3726.150	3573.711
53	56	1.018	3331.413	3391.216
54	57	1.025	3923.224	4019.917
55	58	2.008	1963.347	3942.076
56	59	0.847	2862.994	2426.354
57	60	2.207	1606.803	3546.566
58	61	0.987	3816.012	3766.304
59	62	0.965	3318.185	3202.363
60	63	2.087	1804.839	3767.385
61	64	1.390	1869.823	2599.629
62	65	0.976	3981.986	3885.378
63	66	2.681	1375.081	3686.735
64	67	0.988	3809.972	3762.503
65	68	0.998	3871.412	3864.650
66	69	3.014	1176.614	3546.212
67	70	2.006	1881.333	3774.167
68	71	1.508	2647.519	3992.706
69	72	1.735	1881.794	3265.633
70	73	1.885	1509.128	2844.318
71	74	1.004	3972.395	3989.376
72	75	1.000	4084.271	4083.341
73	76	1.047	3085.509	3230.342
74	78	2.169	1722.555	3736.490
75	79	0.985	4031.605	3972.139
76	80	1.069	3751.897	4009.135
77	81	0.999	4095	4090.085
78	82	0.976	3955.424	3862.028
79	83	2.186	1275.254	2787.780
80	84	1.838	1595.947	2932.652
81	85	0.967	4033.203	3899.051
82	86	0.988	4035.533	3986.110
83	87	2.560	1495.622	3828.707
84	88	0.992	3869.625	3837.625
85	89	1.009	4056.100	4094.407
86	90	0.970	3048.285	2958.163
87	91	0.945	3945.618	3728.508
88	92	0.992	3869.972	3838.957
89	93	0.945	4012.888	3791.158
90	94	0.986	4087.529	4028.397
91	95	1.119	2403.642	2689.138
92	96	1.006	4049.977	4073.952
93	97	1.873	2186.115	4095
94	98	0.994	4024.627	4001.124
95	99	2.589	1293.488	3348.360
96	100	1.065	3581.010	3812.187
97	101	1.201	3258.028	3912.796
98	102	3.107	1083.237	3365.873
99	103	2.452	1447.706	3549.719
100	104	2.450	1335.386	3271.307
101	105	3.142	1302.536	4092.296
102	106	1.496	2539.765	3799.910
