 	Identifier	Ratio	C1	C2
1	0	0.940	3822.731	3591.520
2	1	0.994	4059.519	4034.862
3	2	0.982	3884.141	3815.118
4	3	0.978	4094.946	4006.395
5	4	0.977	3915.329	3824.914
6	5	1.003	3618.131	3627.902
7	6	0.999	4090.500	4086.500
8	7	0.848	3604.357	3056.041
9	8	2.032	1550.167	3150.500
10	9	0.944	3769.307	3559.785
11	10	0.919	3996.596	3672.502
12	11	1.739	1834.799	3190.517
13	12	0.988	3788.233	3741.331
14	13	0.972	4046.033	3933.877
15	14	0.983	4064.769	3995.432
16	15	1.719	1599.357	2748.855
17	16	1.885	1912.792	3605.080
18	17	1	4095	4095
19	18	0.955	2937.927	2804.758
20	19	0.996	4094.363	4075.977
21	20	0.996	4069.952	4055.259
22	21	1.932	2035.077	3931.811
23	22	0.997	4088.906	4077.953
24	23	1.356	2551.724	3459.037
25	25	1.167	2908.667	3394.667
26	26	1	4095	4095
27	27	1.289	2707.149	3489.180
28	28	0.991	4091.048	4052.629
29	29	0.973	3324.442	3234.419
30	30	1.729	1819.487	3145.920
31	31	0.990	3700.851	3662.059
32	32	1.122	3325.515	3730.535
33	33	1.000	4095	4094.557
34	34	0.965	3871.350	3734.653
35	35	0.985	3604.677	3552.214
36	36	0.988	4022.167	3973
37	37	1.241	2970.071	3685.528
38	38	1.136	3564.024	4048.779
39	39	0.998	4059.688	4050.136
40	40	0.986	3542.577	3492.172
41	41	2.034	1514.333	3080.167
42	42	2.698	1294.667	3492.667
43	43	1.443	2833.973	4088.482
44	44	0.931	4095	3811.591
45	45	0.939	3993.511	3751.516
46	46	0.974	4066.495	3961.702
47	47	2.570	1182.681	3040.080
48	48	0.874	2428.792	2122.143
49	49	1.025	3996.499	4095
50	50	0.858	3507.667	3010.500
51	51	1	4095	4095
52	52	2.691	951.749	2561.256
53	53	1.748	1381.315	2414.202
54	54	0.843	3628.118	3060.019
55	55	0.996	4081.528	4063.889
56	56	1.017	3662.489	3725.454
57	57	2.947	1235.514	3641.412
58	58	0.985	4095	4035.500
59	59	0.781	3475.634	2714.372
60	60	0.994	4015.748	3992.646
61	61	0.992	4091.739	4059.696
62	62	1.009	4060.386	4095
63	63	1.237	2414.853	2988.304
64	64	2.658	1527.135	4058.447
65	65	1.172	3494.162	4094.739
66	66	1.965	1290.336	2535.685
67	67	0.985	4076.165	4015.643
68	68	1.207	2979	3597
69	69	2.435	1616.595	3936.263
70	70	0.980	3979.449	3898.589
71	71	2.102	1811.764	3807.689
72	72	1.833	2228.888	4084.831
73	73	1.206	3101.167	3738.740
74	74	0.967	4092.462	3959.068
75	75	2.482	935	2320.500
76	76	0.908	3635.459	3302.662
77	77	1.530	2272.386	3477.337
78	78	1.876	1615.195	3030.082
79	79	0.974	4066.264	3958.737
80	80	1.838	1999.626	3675.114
81	81	0.995	4095	4073.405
82	82	1.566	2503.793	3920.738
83	83	0.976	3713.339	3624.504
84	84	1.224	2369.216	2900.991
85	85	0.987	4060.742	4006.777
86	86	1.217	2116.637	2576.677
87	87	1.467	1939.215	2844.565
88	88	0.999	4093.501	4091.131
89	89	1.000	4086.873	4086.780
90	91	0.864	3595.826	3106.791
91	92	0.995	4082.777	4063.689
92	93	2.824	1184.225	3343.883
93	94	3.246	1063.976	3453.849
94	95	0.998	4094.949	4088.482
95	96	2.099	1913.667	4016.500
96	97	1.046	3913.471	4094.716
97	98	1.113	3568.249	3972.261
98	99	1.480	1675.652	2479.262
99	100	1.883	2052.500	3864.667
100	101	1.811	1961.381	3551.993
101	102	0.980	3995.194	3915.102
102	103	1.924	1631.339	3138.485
