 	Identifier	Ratio	C1	C2
1	0	1.092	3691.447	4032.425
2	1	1.060	3221.167	3413.333
3	2	3.129	1009.811	3159.331
4	3	1.070	3108.328	3326.223
5	4	2.079	1217.667	2531.333
6	6	2.767	1316.504	3642.285
7	7	0.993	4095	4065.333
8	8	0.996	4095	4080.250
9	9	1.017	3008.658	3060.657
10	10	1.002	4069.321	4077.557
11	11	1.014	3474.057	3523.019
12	12	1.095	3624.500	3968
13	13	1.917	1768.190	3389.673
14	14	1.698	1736.321	2948.194
15	15	2.728	980.510	2674.442
16	16	1.000	4094.933	4092.965
17	17	1.175	1844.308	2167.623
18	18	2.090	1614.189	3374.104
19	19	3.201	901.918	2887.284
20	20	1.093	2385.561	2606.431
21	21	0.905	3136.793	2837.524
22	22	4.047	941.949	3811.807
23	23	0.883	4022.628	3553.566
24	24	0.996	4095	4080.318
25	25	0.861	3771.952	3247.240
26	26	1.016	3538.893	3596.897
27	27	2.884	1418.987	4092.274
28	28	1.555	2622.531	4079.328
29	29	0.976	3258.346	3181.573
30	30	3.050	1052.126	3209.062
31	31	1.009	4057.664	4094.602
32	32	0.997	3861.198	3848.833
33	33	0.763	3803.307	2900.807
34	34	1.033	3319.369	3427.934
35	35	0.967	3981.721	3851.756
36	36	3.931	1041.750	4095
37	37	3.616	1048.015	3789.642
38	38	3.041	1340.294	4075.943
39	39	3.028	962.862	2915.221
40	41	0.998	3911.919	3903.012
41	42	1	4095	4095
42	43	0.964	3663.916	3533.545
43	44	2.671	1131.513	3022.393
44	45	1.803	1529.015	2757.295
45	46	1.041	2358.076	2453.586
46	47	1.188	3331.069	3957.872
47	48	1.031	3560.452	3672.569
48	49	0.985	4054.350	3991.669
49	50	1.000	4095	4094.762
50	51	0.996	4094.532	4078.089
51	52	1.010	4008.230	4048.341
52	53	1.006	4071.074	4095
53	54	2.364	1515.167	3581.402
54	55	2.196	1728.333	3796.029
55	56	1.111	3192.180	3547.148
56	57	1.970	1687.392	3324.058
57	58	2.058	1514.250	3116
58	59	1.031	3329.446	3432.472
59	60	2.109	1679.123	3541.910
60	61	0.937	3249.909	3044.529
61	62	2.346	1745	4093
62	63	0.922	3976.007	3664.416
63	64	1.155	3150.551	3639.431
64	65	2.763	898.153	2481.750
65	66	2.139	1781.219	3810.226
66	67	1.838	1975.170	3629.501
67	68	1.116	2904.382	3240.092
68	69	0.988	4095	4047.425
69	70	0.901	2509.634	2261.610
70	71	0.883	3814.439	3368.060
71	72	0.864	2859.597	2470.824
72	73	0.998	4089.237	4079.539
73	74	0.983	4095	4025.789
74	75	1.113	3678.452	4095
75	76	1.451	1680.679	2438.077
76	77	2.060	1749.733	3604.847
77	78	1.008	4024.755	4055.583
78	79	1.850	2079.572	3847.979
79	80	1.087	3611	3923.500
80	81	1.531	2171.850	3325.571
81	82	1.046	3764.500	3935.833
82	83	0.895	3669.816	3284.681
83	84	0.864	3731.861	3222.609
84	85	1.585	1840.173	2915.803
85	86	0.724	3781.550	2738.948
86	87	2.744	1034.893	2839.249
87	88	1.143	2384.713	2726.842
88	89	2.830	1242.540	3516.782
89	90	2.108	1654.716	3487.528
90	91	1.945	1492.397	2903.075
91	92	1.934	2071.657	4007.524
92	93	1.130	3032.964	3426.674
93	94	3.116	1122.145	3496.173
94	95	1.019	3690.265	3759.331
95	96	0.878	2596.385	2280.270
96	97	3.399	658.881	2239.239
97	98	1.596	2212.833	3531.667
98	99	3.122	1159.320	3618.969
99	100	1.196	3422.375	4093.930
100	101	0.912	3548.517	3236.334
101	102	2.053	1922.898	3948.032
102	103	0.979	4083.957	3997.847
