 	Identifier	Ratio	C1	C2
1	0	0.933	3017.112	2815.632
2	1	2.336	989.181	2310.416
3	2	3.529	1144.782	4039.766
4	3	0.943	4004.144	3777.771
5	4	1.001	3799.925	3802.998
6	5	0.971	3973.603	3859.910
7	6	0.991	4061.064	4022.652
8	7	0.992	3961.625	3929.801
9	8	3.296	1028.159	3388.760
10	9	3.407	1028.300	3503.207
11	10	1.536	2424.010	3723.295
12	11	0.994	4091.151	4065.591
13	12	2.046	1519.042	3108.560
14	13	0.786	4086.699	3214.001
15	14	1.900	1884.064	3580.299
16	15	0.972	3738.872	3633.767
17	16	2.286	1507.667	3447
18	17	2.495	1163.389	2902.889
19	18	1.523	1777.592	2707.563
20	19	2.842	855.451	2431.015
21	20	2.243	1220.919	2738.978
22	21	3.353	1090.454	3656.639
23	22	2.281	1185.597	2704.371
24	23	0.941	3071.049	2888.995
25	24	2.459	1625.672	3997.885
26	25	3.075	1311.833	4034
27	26	3.584	890.500	3191.833
28	27	2.851	1239.931	3535.310
29	28	3.299	776.708	2561.992
30	29	0.869	3166.677	2753.278
31	30	0.775	3782.167	2932.500
32	31	0.820	4015.167	3293
33	32	3.130	1199.912	3755.462
34	33	3.422	1133.876	3879.591
35	34	1.819	1443.500	2626.167
36	35	2.821	1242.082	3503.797
37	36	0.943	3686.490	3475.813
38	37	3.365	938.180	3156.784
39	38	0.935	3976.427	3718.240
40	39	1.420	2635.124	3740.696
41	40	2.446	1401.811	3429.147
42	41	2.177	1684.233	3666.369
43	42	2.226	1464.433	3259.106
44	43	0.961	3956.638	3802.842
45	44	2.487	1245.663	3098.272
46	45	2.922	1232.575	3601.065
47	46	1.035	3359.509	3477.890
48	47	1.105	2803.703	3097.978
49	48	1.034	3159.556	3267.605
50	49	1.000	4094.723	4095
51	50	1.010	3858.010	3897.321
52	51	0.977	3854.693	3766.639
53	52	0.977	3968.363	3876.090
54	53	3.113	1019.333	3173
55	54	2.321	1665.989	3866.259
56	55	0.927	3890.533	3606.999
57	56	0.883	2984.349	2634.154
58	57	1.340	2722.489	3646.949
59	58	1.821	1757.732	3200.881
60	59	0.994	4085.626	4060.749
61	60	1.376	1902.994	2618.436
62	61	1.989	1650	3282
63	62	1.412	2870.716	4052.193
64	63	1.000	4082.118	4082.268
65	64	2.252	1734.530	3905.527
66	65	1.823	1801.851	3284.229
67	66	2.547	1214.872	3093.806
68	67	0.998	4086.720	4077.577
69	68	0.905	3991.923	3612.851
70	69	1.340	1314.759	1762.296
71	70	1.457	1850.048	2694.663
72	71	2.854	1380.229	3938.977
73	72	2.300	1317.855	3031.618
74	73	0.994	4091.620	4065.176
75	74	1.086	3542.222	3848.564
76	75	1.008	4028.065	4060.099
77	76	1.045	3344.709	3496.137
78	77	1	4095	4095
79	78	2.105	1943.179	4089.852
80	79	0.964	4060.281	3913.722
81	80	0.954	3183.250	3036
82	81	2.375	1058.670	2514.594
83	82	1.977	1733.354	3426.160
84	83	0.848	4095	3471.802
85	84	0.991	4095	4057.128
86	85	1.036	2768.081	2868.284
87	86	2.008	1949.667	3915.833
88	87	2.066	1164.042	2405.344
89	88	2.863	1230.245	3522.728
90	89	2.456	1100.953	2703.550
91	90	1.590	2158.213	3432.135
92	91	1.003	4084.500	4095
93	92	0.981	4037.833	3961.500
94	93	1.910	1900.002	3629.534
95	94	0.937	3903.833	3659
96	95	0.968	3747.341	3628.002
97	96	0.939	3531.667	3318
98	97	1.195	2195.287	2624.220
99	98	0.989	4012.771	3969.105
100	100	NaN	NaN	NaN
101	101	1	4095	4095
102	102	1	4095	4095
103	103	1.000	4095	4093.990
104	104	1.358	1800.026	2444.414
