 	Identifier	Ratio	C1	C2
1	0	1.194	2879.630	3437.664
2	1	0.981	3758.655	3688.099
3	2	1.377	2609.513	3594.376
4	3	1.025	2953.434	3027.465
5	4	2.522	989.236	2494.960
6	5	2.293	1071.121	2456.091
7	6	0.842	4073.232	3428.947
8	7	1.817	2107.973	3829.687
9	8	2.374	1011	2400.500
10	9	1.008	3574.089	3602.531
11	10	1.027	2202.320	2261.406
12	11	1.388	2872.385	3985.568
13	12	1.091	3692.584	4029.346
14	13	1.002	4072.013	4079.201
15	14	2.287	1407.107	3218.576
16	15	0.991	4095	4059.780
17	16	1.974	2074.333	4095
18	17	0.961	4016.698	3861.886
19	18	3.310	1116.167	3694.333
20	19	0.975	4050.188	3949.760
21	20	0.952	3843.951	3659.195
22	21	2.806	1405.500	3943.167
23	22	1.000	4094.754	4094.178
24	23	2.771	1440.259	3991.168
25	24	1.020	3754.306	3830.762
26	25	2.185	1546.671	3379.069
27	26	1.194	3275.187	3910.875
28	27	2.075	1481.686	3075.025
29	28	1.000	4094.972	4094.619
30	29	3.349	1141.833	3824.167
31	30	3.106	1277.285	3966.908
32	31	0.995	4088.609	4067.771
33	32	0.680	4095	2784.504
34	33	1.684	1614.913	2718.975
35	34	1.000	4095	4093.456
36	35	1.073	2963.773	3180.023
37	36	2.033	1011.293	2056.188
38	37	1.209	3088.124	3733.462
39	38	1.008	4037.612	4068.911
40	39	0.955	3791.417	3621.967
41	40	0.999	4094.966	4089.351
42	41	2.195	1817.173	3989.486
43	42	1.395	2803.619	3911.570
44	43	0.911	3998.270	3642.894
45	44	1.153	3211.716	3703.392
46	45	1.033	2231.667	2306.167
47	46	3.353	1191.610	3995.174
48	47	0.976	3620.228	3533.731
49	48	0.856	3999.167	3424.833
50	49	0.998	3710.212	3701.312
51	50	2.430	1682.577	4088.980
52	51	0.925	4086.637	3778.315
53	52	2.772	909.589	2521.388
54	53	0.958	4058.270	3887.150
55	54	1.010	4045.167	4084.833
56	55	0.879	3212.485	2823.280
57	56	1.015	3958.506	4019.738
58	57	1.000	4095	4093.461
59	58	3.105	942.309	2926.063
60	59	2.314	1722.121	3985.402
61	60	3.142	1268.076	3983.886
62	61	0.937	3585.500	3360
63	62	1.971	1289.798	2541.852
64	63	0.978	4072.880	3985.089
65	64	0.999	4095	4092.528
66	65	3.017	1021.667	3082.270
67	66	1.406	2252.703	3167.150
68	67	1.155	2712.688	3134.351
69	68	2.583	1519.257	3923.964
70	69	1.029	3395.552	3494.160
71	70	0.858	3389.811	2906.854
72	71	0.970	4053.694	3931.753
73	72	3.269	867.114	2834.240
74	73	0.971	4011.833	3895.333
75	74	1.026	2538.000	2602.787
76	75	3.066	1125.600	3451.475
77	76	0.971	3618.508	3511.871
78	77	2.998	1366.011	4094.871
79	78	0.990	4088.603	4045.739
80	79	1	4095	4095
81	80	1.071	3392.956	3634.677
82	81	1.344	2487.809	3344.353
83	82	1.003	4074.923	4087.300
84	83	0.974	4072.761	3967.474
85	84	1.258	3223.264	4055.312
86	85	1.459	1692.500	2470
87	86	1	4095	4095
88	87	3.475	1058.999	3679.691
89	88	2.550	1604	4090.333
90	89	2.000	2019.368	4039.301
91	90	0.883	3508.065	3097.484
92	91	2.674	1427.963	3817.928
93	92	2.130	1160.167	2470.667
94	93	1.000	3948.547	3950.479
95	94	1.010	3887.577	3928.230
96	95	2.752	1283.481	3531.931
97	96	0.999	4095	4092.167
98	97	1.337	2841.656	3798.548
99	98	1.005	4075.609	4094.605
100	99	2.272	1798.833	4086.500
101	100	0.997	4085.592	4071.737
102	101	1.458	2070.523	3018.698
103	102	1.516	2700.500	4095
104	103	1.087	3750.486	4074.941
105	104	1.793	2182.599	3914.061
