Date Plate Well Type Inhibitor Concentration Cell Buffer Inside Ratio Area well converted.2 type
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.105 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.985 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.101 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.121 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.037 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.156 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.377 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.429 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.911 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.338 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.323 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.295 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.138 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.095 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.982 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.052 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.621 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.793 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.161 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.874 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.876 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.936 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.947 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.862 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.012 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.216 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.7 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.539 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.924 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.991 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.32 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.738 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.049 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.13 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.936 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.933 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.336 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.529 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.943 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.001 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.971 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.991 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.992 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.296 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.407 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.536 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.994 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.046 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.786 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.9 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.972 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.286 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.495 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.523 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.842 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.243 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.353 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.281 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.941 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.459 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.075 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.584 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.851 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.299 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.869 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.775 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.82 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.13 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.422 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.819 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.821 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.943 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.365 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.935 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.42 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.446 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.177 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.226 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.961 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.487 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.922 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.035 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.105 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.034 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.01 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.977 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.977 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 3.113 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.321 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.927 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.883 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.34 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.821 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.994 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.376 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.989 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.412 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.252 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.823 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.547 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.998 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.905 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.34 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.457 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.854 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.3 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.994 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.086 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.008 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.045 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.105 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.964 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.954 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.375 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.977 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.848 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.991 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.036 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.008 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.066 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.863 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.456 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.59 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.003 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.981 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.91 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.937 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.968 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.939 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.195 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.989 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida NA NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1 NA 1 2 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.358 NA 1 2 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.94 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.994 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.982 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.978 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.977 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.003 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.999 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.848 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 2.032 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.944 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.919 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.739 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.988 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.972 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.983 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.719 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.885 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.955 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.996 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.996 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.932 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.997 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.356 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.167 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.289 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.991 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.973 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.729 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.99 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.122 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.965 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.985 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.988 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.241 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.136 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.998 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.986 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 2.034 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 2.698 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.443 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.931 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.939 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.974 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 2.57 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.874 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.025 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.858 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 2.691 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.748 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.843 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.996 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.017 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 2.947 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.985 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.781 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.994 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.992 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.009 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.237 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 2.658 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.172 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.965 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.985 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.207 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 2.435 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.98 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 2.102 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.833 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.206 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.967 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 2.482 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.908 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.53 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.876 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.974 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.838 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.995 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 1.566 NA 2 1 normal
20/03/2013 1 2 HV1 TEA 10000uM ? Bicarbonate Candida 0.976 NA 2 1 normal
